titulos,companias
Auxiliar de Sustemas de Calidad,APISA FASTENERS SA DE CV
Coordinador de Operaciones,Transportes JSV
Coordinador administrativo de licenciaturas,Universidad INECUH
Asistente Ejecutiva,Conecta Soluciones Laborales
inspector de calidad,"TURBOMEX REFACCIONES, MANTENIMIENTO Y SEGURIDAD IN..."
Ejecutivo/a Cuenta Sucursal (San Javier ),Scotiabank
ATENCIÓN A CLIENTES,COMERCIALIZADORA Y ADMINISTRADORA INTEGRAL S.A DE...
Auditor de Calidad,APISA FASTENERS SA DE CV
Jefe de almacén,ZURICH
Supervisor de planta de beneficio,COMPAÑIA RM
SUPERVISOR DE TIENDAS/UNIDADES DE NEGOCIO ZONA HIDALGO,Bumeran
ATENCIÓN A CLIENTES,CONSTRUCTORA CESVIN
becario de inglés,Lingüe
Soporte Técnico Diurno,Centro de Datos KALI
INTERCAMBISTA - INSPECTOR DE REMOLQUES,AUTOTRANSPORTES EL BISONTE
Auxiliar de almacén,Bio-pappel Packaging Tizayuca
"MAESTRA PRIMARIA, ESPAÑOL",INSTITUTO VICARIO DE HIDALGO
RESPONSABLE DE COMPRAS Y LOGÍSTICA,INGENIERIA SERVICIOS Y APLICACIONES S.A DE C.V
Jefe Almacén (Farmacéutica),PHARMA
Supervisor de descarga,Transportes JSV
Maestra de español,Colegio Nuevo Hidago S.C
EMPLEADO DESDE CASA,Fónix Distribuidor Autorizado
JEFE DE INYECCIÓN - INGLES INTERMEDIO,Integra Corporativo
auxiliar de almacen,Yuewei S.A de C.V
Encargado de tienda,COCINAS CEDILLO
JEFE DE SISTEMAS,EXCELENCIA AUTOMOTRIZ DE HIDALGO
ESPECIALISTA DE PRODUCCIÓN,ODISA
Jefe de Proyectos,PASTEKO
Coordinador de Obra,ROMAVE CONSTRUCCIONES SA DE CV
Jefatura de Recursos Humanos,Carviflon
gerente de sucursal pachuca,pro financiera
AYUDANTE GENERAL,sigma alimentos
Gerente de Administración de Personal,RESTAURANTE MADERO
Director Académico Primaria,Talento M
Coordinador de producción,Jugos del Valle-Santa Clara
RESIDENTE DE CONSTRUCCIÓN,DOQUIMTA
GERENTE DE PRODUCCIÓN - INGLÉS AVANZADO,Integra Corporativo
AUXILIAR ADMINISTRATIVO,EL KING S DE R.L DE C.V PACHUCA
Ayudante de producción (eventual),Jugos del Valle-Santa Clara
Cajero Bancario,Banco Azteca
DESPACHADOR DE DIESEL NOCTURNO,TRANSPORTES ARLEQUIN
Atención a clientes,EXCELENCIA AUTOMOTRIZ DE HIDALGO
Medidor de Obra/ Coordinador de personal,EYPM
Asistente Recepcionista,Consultorio de Podología
Analista Financiero,Desarrollando el Talento
Asesor (a) de ventas,Juárez Laboratorios y Centro de Imagen SA de CV
Archivista/capturista,ISSO POWER 9000
GERENTE DE SUCUSAL-EXPLANADA PACHUCA,Cassava Roots
Recepcionista Clinica Hemodialisis Verpetino - Tula de Allen...,"Arquina, S.A. de C.V."
Auxiliar Contable - Pachuca,Resuelve tu Deuda
GERENTE DE RECURSOS HUMANOS EXPERIENCIA EN MANUFACTURERAS -...,Integra Corporativo
Auxiliar de almacén,RESTAURANTE MADERO
Axuliar Administrativo Calidad,APISA FASTENERS SA DE CV
Cajero(a) Bancario para Atitalaquia,Citi
AUXILIAR DE COMPRAS,INGENIERIA SERVICIOS Y APLICACIONES S.A DE C.V
ventas y atencion al cliente,Yuewei S.A de C.V
Responsable de Recursos Humanos,Mexline
PREVENDEDOR,DANONE DE MÉXICO S.A. DE C.V.
Auxiliar de Recursos Humanos,RESTAURANTE DE COMIDA RAPIDA
Encargado de tienda,EMPACADORA MURGATI S.A. DE C.V.
Analista de Recursos Humanos,Comercializadora Grupo Hidalgo
Auxiliar de Soporte Tecnico,CONSORCIO EDUCATIVO LONDRES UCLAH
MECANICO,ZEMER CONSTRUCTORA
ANÁLISTA DE SOPORTE TÉCNICO,CELMI
CHOFER EJECUTIVO,DOQUIMTA
Auxiliar de capacitación y cultura organizacional,Empresa asociada a COPARMEX Hidalgo.
Supervisor de Operaciones,ND accesorios Tula s.a de c.v
VIGILANTE DE OFICINA,DOQUIMTA
CAJERO(A) VALUADOR (SORIANA TIZAYUCA),CASH APOYO EFECTIVO
jefe de credito y cobranza,Pharma Amigo S.A de C.V.
Coordinador de Seguridad e Higiene,APISA FASTENERS SA DE CV
Auxiliar Administrativo de Arrastre,Auto Lineas Regiomontanas
pintor automotriz,Enriquez Servicios Obras y Suministros S.A de C.V.
Agente de ventas,Sector Financiero
guardia de seguridad privada,CORPORATIVO ULTRA
Personal para atención en mostrador,INOVA PSIQUE
EMBAJADOR DE MARCA (PINTURAS ARQUITECTONICAS) THE HOME DEPOT...,Pinturas BEHR
ENCARGADO DE TIENDA,INOVA PSIQUE
Repartidor en moto,Grupo Milenio
MECÁNICO A DIESEL,IBC AUTOSPA SA DE CV
Montacarguista de clamp,Bio Pappel Packaging
PROMO VENDEDORA CANAL GASOLINERO/ PACHUCA,Ideal Marketing
OPTOMETRISTA,Visión
Representante de Ventas Equipo ferretero y de baja tension,ASOSA
Vendedora de mostrador,INOVA PSIQUE
Preventista a pie,Gentex
gestor de cobranza domiciliaria,Banco Azteca
Gestor de Cobranza Domiciliaria,FINCOMUN SERVICIOS FINANCIEROS COMUNITARIOS
MEDICO SUB-INVESTIGADOR,Asociacion Mexicana para la Investigacion Clinica...
OPERADOR DE TRACTO FULL,CORPORATIVO UNNE
Asesor Financiero,Leben life
OPERADOR DE QUINTA RUEDA,"PHARMA AMIGO, S.A. DE C.V"
Ayudante general de producción,Producción y manufactura
Promotor de temporda con posibilidad a quedar fijo,Promotor en Auntoservicios
"""Beauty Coach GOC Make Up""",Goc make up
INTENDENTE,RESTAURANTE MADERO
PROMOTOR DE AUTOSERVICIO 4 HORAS (INFORMATIVA) MERCADO SORIA...,TALENT GROUP
Promotor de ventas cambaceo - Pachuca Hidalgo,Rocketel
Asesor de ventas en campo,ROCKETEL
ASESOR DE CRÉDITOS | CAME PACHUCA,FINANCIERA CAME S.A DE C.V
Guardia de Seguridad Privada,Servicio Global de Seguridad y Sistemas Privados G...
ASESOR DE CRÉDITOS GRUPALES | CAME MINERAL DE LA REFORMA,FINANCIERA CAME S.A DE C.V
GUARDIAS DE SEGURIDAD A 10 MIN DE METRO SAN JOAQUIN,GRUPO AP
GERENTE EX AFORE PARA BROKER SURA/ ZONA PACHUCA,AFORE SURA
Agente de ventas / Seguros de Vida - Medio Tiempo,Teleperformance
Auxiliar de impresión,Bio Pappel Packaging
OPERADOR DE TRACTOCAMION SENCILLO,CORPORATIVO UNNE
Vendedor servicios de telecomunicaciones,IZZI PACHUCA
PROMOVENDEDOR CUBRE VACACIONES HUEJUTLA 8HRS (INFORMATIVA) (...,TALENT GROUP
guardia de seguridad privada,Visali
"Asesor de Servicios Financieros - Huautla, Hidalgo",SMB RURAL
MONTACARGUISTA,TRAPLA
ASESOR DE CRÉDITO,PUBLISEG
Promotor Asesor de Crédito,Exitus Credit
FREELANCE DE ESTUDIOS SOCIOECONOMICOS,Human PS SC
Oficial de Seguridad Privada,CORPORATIVO MAGAVEL
MI PRIMER EMPLEO/ ASESOR DE VENTAS,405 S.A de C.V
Asesor de Crédito Huejutla de Reyes,CAME - Centro de Apoyo al Microempresario
Ejecutivo De Ventas,GRUPO DE TALENTO MEXICO
Oficial Pintor,Enriquez Servicios Obras y Suministros S.A de C.V.
promotor de telefonia,JETMX
Médico Laboral,HRM
Vendedor en campo,IZZI PACHUCA
Ejecutivo de Ventas // Medio Tiempo AM o PM // Lunes a Sábad...,Teleperformance
Remote/Virtual Employee - English Speaker,House Match Inc
EJECUTIVO(A) DE VENTAS,FINANCIERA COMERCIAL S.A. DE C.V.
RECEPCIONISTA,Arca Continental
MC_Supvr Produccion Direct,Nissan
"Cajero/a y atención al cliente, Col. San Marcos",Safety Depot
Auxiliar de Compras,Vallen Proveedora
Verificador/a,GEPP
SUPERVISOR,DICSSA
Gerente de Logística,FRICTION TECH
Atención a clientes,EXTRUSIONES METALICAS
GERENCIA DE OPERACIONES,COMPUCENTER
COMPRADOR,Vallen
Jefe de Almacén,NOVAPAK
Auxiliar administrativo,GONZALEZ TRUCKING SA DE CV
Director de Marca,Aguascalientes Ags
Encuestador (Prospectador),TORRES CORZO AUTOMOTRIZ DE AGUASCALIENTES NORTE
ASESOR DE VENTAS AUTOS NUEVOS,Torres Corzo Nissan Sur
Subgerente de Operaciones,SERVICIOS ADMINISTRATIVOS FLECHA AMARILLA
capturista de almacen,Orotex Industrial De Aguascalientes S. De R.L. De...
Coordinador de Logística,LECHE LA ESCONDIDA
Reclutador de personal,Cruz salas
Gerente Aguascalientes,SUPER MAYOREO NATURISTA S.A DE C.V
"Ejecutivo/a Comercial (Aguascalientes, Ags)",BBVA
Jefe de Sistemas,Farmacias del Ahorro
Auxiliar de Compras,Nutrypollo
Auxiliar de Sistemas,CONSORCIO MEXICANO DE ESTACIONAMIENTOS SA DE CV
Almacenista,EnviaFlores.com
Recepcionista,ALEACIONES AMS
Ejecutivo de ventas - canal tradicional,Human Lead
SUBJEFE DE CONTROL DE PRODUCCION,TACHIS
Agente Telefónico / Televentas,Grupo Modelo
MRO,Tenneco
ASESOR DE VENTAS DE COMPUTO,COSMIC SA DE CV
Supvr Ingeniería Planta,Nissan
Auxiliar de Compras,Construcciones JJ S.A. de C.V.
AUXILIAR ADMINISTRATIVO,KENWORTH DEL CENTRO
Auxiliar Administrativo,Sello Rojo del Norte SA DE CV
Auxiliar Administrativo,RECICLABLES PINEDA MOCTEZUMA
Supervisor General de Cafeterías,QG SERVICIOS
supervisor de personal,Bussines Ags Cart SAS de Cv
Customer Service Specialist,Sensata Technologies
auxiliar de trafico,GRUPO LALA
SUPERVISOR DE PAVIMENTOS Y TERRACERÌAS,DICSSA
Técnico de APQP,Eaton
PRODUCTION SUPERVISOR,Donaldson
SubJefe Operativo de Planta Concretera,Concretos Técnicos de México
Material Planner,Sensata Technologies
asistente en proyectos y administrativo,VIDRIERA MODERNA
Staff en Desarrollo de Nuevos Productos Alimenticios,Agroindustria de Aguascalientes S.A. de C.V.
Supervisor de Sanidad y Calidad en alimentos,Agroindustrias de Aguascalientes S.A. de C.V.
Administrador de Mantenimiento,Tenneco
MONTACARGUISTA,QG SERVICIOS
SUPERVISOR DE ESTRUCTURAS DE CONCRETO,DICSSA
ventas y atencion al cliente Aguas calientes,ARCHOS
Caja chica,IBN Industrias Militares y de Alta Tecnología Balí...
Repair/Maintenance Supervisor,American Standard
Analista de Finanzas,Mabuchi Motor Mexico
Asesor Elektra,ELEKTRA BANCO AZTECA
Encargado de Soporte Técnico,Torres Corzo Nissan Sur
Operations Supervisor,Wallenius Wilhelmsen
Vendedor de Reacciones Automotrices en Mostrador,GRUPO DAR
Lead Repair / Maintenance,American Standard
Comercio Exterior,E&H Precisión de México SA de CV.
servicio al cliente,Rainde
Customer Care Analyst,Wallenius Wilhelmsen
Operations Manager,EDP Renewables North America
Auxiliar de Recursos Humanos,TSO TRANSPORTES Y SERVICIO ORIENTAL
MAINTENANCE TECHNICIAN,Plastic Omnium
Encargado de Control de Inventarios,AGENCIA AUTOMOTRIZ NISSAN
Operadora de atención a cliente,"Refaccionaria Rogelio, S.A. de C.V."
AUXILIAR DE OPERACIONES,XCF TRANSPORTE DE CARGA CONSOLIDADA
TÉCNICO DE SANITIZACIÓN,SABRO POLLO / INTERPEC SAN MARCOS
AUXILIAR ADMINISTRATIVO,CORPORATIVO MCALLEN BY RODEO SA DE CV
EJECUTIVO DE VENTAS CON ESPECIALIDAD EN ZOOTECNIA,"MGM NUTRICION ANIMAL, S.A. DE C.V."
Supervisor de materiales,Marelli Mexicana
CUSTOMER SERVICE,XCF TRANSPORTE DE CARGA CONSOLIDADA
Supervisor de Calidad,ZF
BECARIO INGENIERIA Y PROYECTOS,SOLUCIONES IMED SA DE CV
Jefe de computo,Farmacias del Ahorro
RECEPCION ADMINISTRATIVA,DIQUINSA CAMPESTRE
Ing en procesos Industriales Recién engresado,Keuken Maxiequipos
"-*-*- GERENTE DE SUCURSAL, AGUASCALIENTES -*-*-",Banco Multiva
AUXILIAR DE CALIDAD,SOLUCIONES IMED SA DE CV
Supervisora de ama de llaves,RAMADA ENCORE AGUASCALIENTES
MAESTRA TITULAR DE 3° Y 4° DE PRIMARIA,Comunidad Educativa La Tierra
AUXILIAR DE ALMACEN,GONZALEZ TRUCKING SA DE CV
VENDEDOR,GUTENGRAF SA DE CV
Regional Customer Operation Specialist,Alcon
MAESTRA SUPLENTE PARA NIVEL PRIMARIA,Instituto Tepeyac Campus Aguascalientes
Técnico de Laboratorio de Calidad,Marelli Mexicana
Production Line Manager,Eaton
Auxiliar de Costos Operativos,ASSD S.A. DE C.V.
ELECTROMECÁNICO,REDHUMANNOROESTE
SUPERVISOR DE CARGA,T&T EXELENS
Analista de Calidad,Keuken Maxiequipos
QMS Engineer,Eaton
Gerente de Sucursal,comercial llantera tapatía
supervisor de ventas,GAS TITANIUM S.A. DE C.V.
Representante comercial de marca,SCG
Asesor automotriz,Torres Corzo Nissan Sur
Software Engineer Java,Softtek
Elemento de seguridad privada,"SEPSISA SEGURIDAD PRIVADA, SA DE CV"
"EJECUTIVO DE VENTAS, GIRO FINANCIERO",Human Staff
ASESOR COMERCIAL EJECUTIVO,SCG
CHOFER ALMACENISTA,CUPRUM
Ejecutivo De Ventas,GIN
Auxiliar de Almacén,Kelly Services
Vendedor comisionista de servicios.,SCG
Supervisor de Ventas del área call center,SCG
ASESOR PROFESIONAL DE VENTAS,NISSAN TORRES CORZO SUR
Desarrollador Net Core,"SVAM International de Mexico, S. de R.L. de C.V."
AUXILIAR DE LIMPIEZA,TRANSHIDRO S.A DE C.V.
SIN DINERO PARA ESTE BUEN FIN? Consigue un empleo hoy!,Teleperformance
Tecnico Maquinas y Herramientas,BIODIVERSIDAD INDUSTRIAL
Promotor de Refacciones,TORRES CORZO AUTOMOTRIZ DE AGUASCALIENTES NORTE
MONTACARGUISTA,CENTRO LOGISTICO DE CONSOLIDACIÓN CLC S. A. DE C....
EJECUTIVOS DE VENTAS A DETALLE,SCG
Agente Corporativo de Ventas,Grupo GIN
QA Automation Tester,HUMAN RETAIL / HUMAN STAFF
Valorizador Hojalatería y pintura,Torres Corzo Nissan Sur
AGENTE DE VENTAS PAGO SEMANAL CON 100% EN COMISION,SCG
Representante Comercial,Gin Group
SOPORTE TECNICO EN CAMPO,NET & SERVICES TRANTOR
Operaria de confección,DAMILTEX SA DE CV
Gerente de Ventas (Cambaceo),TORRES CORZO AUTOMOTRIZ DE AGUASCALIENTES NORTE
"ENFERMERA/O TÈCNICO TURNO MATUTINO, RINCÓN DE ROMOS.",R&R Farmacias
PROXY REPARTIDOR SUPLENTE NP09,TALENT GROUP
"Ruby on Rails Developer - Remote, Full Time",FullStack Labs
TÉCNICO MECÁNICO,KENWORTH DEL CENTRO
Operador - Planta de tratamiento - Contratación inmediata,Evolution Consulting Group
Asesor telefonico - ¿Buen Fin y sin trabajo?,Teleperformance
Vendedor de servicios patrimoniales por comisiones,Gin Group
Vendedor Comisionista,Gin Group
Asesor Profesional de Ventas,Torres Corzo Nissan Sur
Celebra un buen fin con un empleo seguro! Contrataciones inm...,Teleperformance
Enfermera Quirúrgica- Los Cabos,RECURSIVITUM DE MEXICO
REPRESENTANTE COMERCIAL EN VENTA DE SERVICIOS INTEGRAL,SCG
Supervisor de ventas,Grupo GIN
Full Stack Developer,Radbyte
Asesor de ventas cambaceo,Torres Corzo Nissan Sur
GUARDIA DE SEGURIDAD,SIEMPSA
Sales Lead Generation Specialist (Remote),Anequim Mexico SA de CV
Lic. Enfermería- Enfermera General para Los Cabos,RECURSIVITUM DE MEXICO
repartidor en moto,PRO-BUSINESS
Técnico C mecánico a Diesel,Kenworth del Centro
Promotor de Tarjetas,Evolution
HOME OFFICE! Trabajo para 16 años o mas con ganas de trabaja...,Centro de Contacto en Aguascalientes
promotor de ventas,JETMX
SUPERVISOR DE CALIDAD,KDM FIRE SYSTEMS
JEFE DE RECIBO SORIANA 120,SORIANA
ENCARGADO DE CAMPAMENTOS,"CONSORCIO TRAMO DOS, S.A. DE C.V."
Auxiliar de Oficina,BAMBOO IMPRESIONES
AUXLIAR DE COMPRAS,KDM SERVICE
AUXILIAR DE ALMACEN,FERROCOQUIS S.A.
CUENTAS POR COBRAR,PALMAS DE CANDELARIA
Jefe de Administración,Pieza Clave Consultoria
Customer Success Manager - Pemex,Baker Hughes
Ayudante de Oficina,AGRICOLA CASCABEL
Ejecutivo de ventas y atención a clientes,SATAB
SUPERVISOR,JUDA CONSTRUCCIONES SA DE CV
EJECUTIVO DE SERVICIO,"SEGUROS ATLAS, S.A."
Coordinador Zonal,Medical Life Sa de CV
INTRUMENTISTA A BORDO,ADMINISTRADORA TRITON
AYUDANTE GENERAL,DETECTORES Y CONTROLADORES DEL GOLFO
Aux. Cosecha,SISCAF S.A. deC.V
ANALISTA DE NOMINA,PALMAS DE CANDELARIA
Gerente de Tienda,STEREN SOLUCIONES EN ELECTRONICA
SEGURIDAD INDUSTRIAL,DETECTORES Y CONTROLADORES DEL GOLFO
Field Specialist (Dual LWD-DD),Baker Hughes
PINTOR EN TIERRA,KDM SERVICE
ANALISTA DE COSTOS,PALMAS DE CANDELARIA
Asistente Ejecutiva,AGROFINANCIERA DEL SURESTE SA DE CV SOFOM ENR
Sup. de Cosecha,SISCAF S.A. deC.V
Capturista SAP,Ralca S.A de C.V.
RESPONSABLE DEL AREA DE FINANZAS,INSTITUTO PEDAGOGICO CAMPECHANO
Encargado de sucursal,Fycamex
Gerente de Industrialización de Madera,"ASERARDERO DE PRESICION – San Francisco, Camp"
Verificador de créditos grupales,Metafinanciera México
Ayudante de Cocina Zentralia CD DEL CARMEN,Wingstop
Vendedor de Mostrador pòr Temporada,S. A. de C. V
Terapeuta Fisico,Quality Of Life
Almacenista,Carnes Cayal
AUXILIAR DE CONTROL INTERNO,PALMAS DE CANDELARIA
Hindi Linguist-CAT II,Valiant Integrated Services
Camp Project Manager(7041),Crescent Petroleum
RECIBIDOR DE MERCANCIAS,AURRERA
OPERADOR ELECTRICO,DETECTORES Y CONTROLADORES DEL GOLFO
Coordinador de Asesores,Exitus Credit SAPI de CV SOFOM ENR
Master en tienda,HUMAN RETAIL / HUMAN STAFF
TECNICO ELECTROMECANICO,AMMEC COMERCIAL SA DE CV
SUPERVISOR DE BUENAS PRÁCTICAS DE MANUFACTURA,ASOSA Empleos
Representante de Ventas,Argos Electrica
SUPERVISOR DE SEGURIDAD A BORDO,ADMINISTRADORA TRITON
Auxiliar de validación,Ralca S.A de C.V.
Terapeuta Pulmonar,Quality Of Life
ALMACENISTA,GALLETERA RICHAUD
Restaurante Zentralia CD DEL CARMEN,Wingstop
AUXILIAR DE PROTECCIÓN DE ACTIVOS,AURRERA
CAJERO POR TEMPORADA CHEDRAUI TACUBAYA,TIENDA CHEDRAUI
Vendedor de tienda en Galerías Campeche,LOB FOOTWEAR (josue.gomez@lobfw.com.mx)
Aseso Comercial - Suzuki Ciudad del Carmen,Grupo Autosur
Supervisor de BPM´s Campeche,ASOSA Empleos
ALMACENISTA DE DULCERÍA,LIVERPOOL
TÉCNICO EN CABLEADO ESTRUCTURADO,TIREVODA
"Mesero, Ayudante de Cocina, Hostess, Bartender",Wingstop
CAJERO-VENDEDOR,PRICE MARKET
"Mèdicos Generales Campeche""",Servicios Médicos
Key Account Manager O&G Offshore,HILTI
VENDEDOR DE PISO,Fundación Rafael Dondé I.A.P
CAJERA,JORGE IVAN ARCOVEDO AVILA
LIDER/VALUADOR DE VEHICULOS,Fundación Rafael Dondé I.A.P
Técnico en relevado de esfuerzos.,Proyectos Margue S.A. de C.V.
RECEPCIONISTA DE MERCANCIAS,CARNES CAYAL
ayudante general/ Parque industrial Lerma,CONSORCIO AMESA SA DE CV
Asesor de ventas y atención a clientes,Autofinauto
Medico Abordo,SERVICIO DE INDUSTRIA PETROLERA SA DE CV
AGENTE DE VENTA,PRODUCTOS RICHAUD
"INTRUMENTISTA,CALIBRADOR Y MONTADOR",SERVICIO DE INDUSTRIA PETROLERA SA DE CV
Promotor de Abarrotes y Autoservicios,Las Dos Caras
Vendedor de Mostrador por Tempòrada,S. A. de C. V
asesor de ventas,Compañia Dulcera Mivesa SA de CV
AUXILIAR DE ATENCION A CLIENTES,PROVEEDORA Y ABASTECEDORA ZYE SA DE CV
GESTOR EN MOTO,DISH
Promotor de crédito/Disponibilidad para viajar,Reclutando T
EMPLEADO DE MOSTRADOR,FARMACIAS BAZAR
asesor de ventas,Grupo Autofin Mexico
VENTAS DIGITALES,Grupo 30 inventos
TABLAJERO,TIENDA CHEDRAUI
Agente Promotor Afore,Talent Risk Solutions
Vendedor Tienda Ropa y Calzado - Lerma,Grupo Converse de México SA de CV
JEFA DE PASTELERIA,SANBORNS HERMANOS SA DE CV
EJECUTIVA DE CUENTA (ASEGURADORA),"SEGUROS ATLAS, S.A."
TECNICO DE CAMPO FORANEO,MULTICONGREGACION DE LIDERES EN EL MERCADO EMPRESA...
EMPLEADO DE MOSTRADOR,LA VERBENA
SURTIDOR DE PISO CHEDRAUI TACUBAYA,TIENDA CHEDRAUI
GERENTE DE VENTAS,HOTEL U XUL KAH
GUARDIA DE SEGURIDAD,OfficeMax México
CAJERO VENDEDOR,BODEGA AURRERA
Adjunt al departament de gestió laboral,Mas carandell
Promotor(a) de crédito Sucursal Campeche por temporada,Santandreu SA de CV
CAJERO,GALLETERA RICHAUD
REPARTIDOR,KFC KENTUCKY FRIED CHIKEN
AUXILIAR DE PREVENCIÓN CHEDRAUI PALMIRA,TIENDA CHEDRAUI
AYUDANTE GENERAL,SON JAROCHO
AUXILIAR DE CARNICERÍA,CARNES CAYAL
Ingeniería de Sistemas y Computación / Informatica .NET,TR Network
GERENTE,AUGUSTA TENABO
EMPACADOR DE PANADERIA SORIANA 120,SORIANA
Coord. Vendedora ESCUELA INTERCAMBIO (haya ido a Intercambio...,Everbest Consultores
planeador (a) de la producción,Randstad
Asesor (a) de créditos grupales,Metafinanciera México
Operador Entrega,GEPP
COP Lead/Contract Manager,"IAP Worldwide Services, Inc"
Dentista General - CHAMPOTON,Medical life
COORDINADOR DE NOMINAS,"CONSORCIO TRAMO DOS, S.A. DE C.V."
VENDEDOR DE PERECEDERO,AURRERA
COP Lead/GCCS System Administrator,"IAP Worldwide Services, Inc"
"""Odontólogos Campeche Urgen""",Medical Life
VIGILANTE,LA VERBENA SAN FRANCISCO
IN STORE SHOPPER JAMA,TIPTI S.A.
CAJERO CHEDRAUI PALMIRA,TIENDA CHEDRAUI
CHOFER VENDEDOR A DETALLE,BOTANAS LA LUPITA
DESPACHADOR DE COMBUSTIBLE,GES
ASESOR DE BOMBA,GRUPO GASOLINERO ESTOL SA DE CV
PROMOTOR,GALLETERA RICHAUD
AYUDANTE DE CHOFER FORANEO,GALLETERA RICHAUD
TAQUERA,LAS TRANCAS
GERENTE EX AFORE PARA BROKER SURA/ ZONA CAMPECHE,AFORE SURA
Gestor de Cobranza,Aprecia Financiera
BELL BOY,HOTEL MISION CAMPECHE
REPARTIDOR DE ALIMENTOS,LOS TROMPOS
DESPACHADOR DE COMBUSTIBLE CIUDAD DEL CARMEN,"NEGOCIOS Y CONCESIONES MEXICANAS , DE S.A DE C.V."
REPARTIDOR,LOS TROMPOS
EJECUTIVO DE VENTAS,HOTEL U XUL KAH
CHOFER VENDEDOR,"EMBOTELLADORAS BEPENSA, S.A. DE C.V."
Auxiliar de Mantenimiento de edificio,AUGUSTA TENABO
VIGILANTE,TIENDAS MILLAN
Operador de Tractocamion,CICSA S.A. de C.V
VENDEDOR A DETALLE,GALLETERA RICHAUD
COLABORADOR DE FRUTAS Y VERDURAS,TIENDA CHEDRAUI
CHOFER REPARTIDOR,CARNES CAYAL
TÉCNICO MECÁNICO AUTOMOTRIZ DIESEL O GASOLINA,GAS DECA S.A. DE C.V.
Promotor de ventas,JUDA CONSTRUCCIONES SA DE CV
REPARTIDOR CON MOTOCICLETA,REFACCIONARIA LA TABASQUEÑA
Mecánico Automotriz,CARBOOST
"""Médicos Campeche Urgentes""",Medical Life
MECÁNICO GENERAL AUTOMOTRIZ,MULTISERVICIOS COMERCIALES
Enfermera Flebotomista /Tec Laboratorista Clinico - CHAMPOTÓ...,Medical life
Promotor financiero en campo,Laborika
Promotor de Créditos,CI CREDITO PERSONAL
Productor Audiovisual,ISEO
WORK FROM HOME CALL CENTER REPRESENTATIVE - LEAD GENERATION,Hispand consulting
INSTRUCTORES DE CAPACITACION,Training Transpersonal De México
Ejecutivo de Ventas !!! Excelentes comisiones semanales !!,InverCap Afore
Ejecutivo de Vetas !! Excelentes comisiones semanales !!!,InverCap Afore
encargado de bodega,Vecarant
Supervisor de Almacen de refacciones,DRÄXLMAIER Group
Asesor de Educación Continua,DISEÑO Y TECNOLOGIA EN MUEBLES SA DE CV
asesor de ventas,CAJASA
Gerente y/o Encargado de Tienda de Ropa en Tepic,Talent Hunters
Welcome Ambassador,"Marriott International, Inc"
Gerente de Certificaciones CRISTAL,DREAMS VILLAMAGNA NUEVO VALLARTA RESORT & SPA
Supervisor de almacen,Gentex
Asistente de Ama de llaves,DREAMS VILLAMAGNA NUEVO VALLARTA RESORT & SPA
OPERADOR DE AUTOBUS,busmen
ING. AGRÓNOMO,"SANDIAS Y HORTALIZAS LA REGINA, SA DE CV"
RECEPCIONISTA Y ADMINISTRADORA,Mi dca - Mi dental center asociados
Supervisor de Almacén,VIMIFOS SA DE CV
Technical Training Leader,DRÄXLMAIER Group
SUPERVISOR DE PRODUCCIÓN,PRODUCTORA PECUARIA ALPERA SAPI DE CV
"Gerente para pequeño hotel boutique en Sayulita, Nayarit",Siete Lunas Hotel Boutique
oficial de mantenimiento,Hotel Samba Vallarta
RECEPCIONISTA,DENTOFACIAL Y RADIOLOGÍA DIGITAL
Líder en Ventas Tepic,DORMIMUNDO
Facturista,CLADIMACO
ATENCION A MOSTRADOR - CAJERO PLAZA FORUM TEPIC (ROLAR 8 HOR...,NUTRISA S.A DE C.V.
Niñera particular,Yarit
Auxiliar Contable,Corporativo Brego
GERENTE DE ESTACIÓN DE SERVICIO,GRUPO OCTANO
Gerente de Credito,Confi
FACTURISTA,PINTURAS LOS MIL COLORES
JORNALERO,LA FORTALEZA AGRICOLA Y AGROPECUARIA DEL BAJIO SA...
Becario de cuantificación,M2 Ingenieria de Costos
Ejecutivo de Ventas,TELCEL RADIOMOVIL DIPSA SA DE CV
Técnico Biomédico,Técnico Biomédico
promotor de ventas,FERTILIZANTES TEPEYAC SA DE CV
AUXILIAR DE INVENTARIOS,PINTURAS LOS MIL COLORES
AUXILIAR DE RECURSOS HUMANOS,PINTURAS LOS MIL COLORES
Quality Auditor,Dräxlmaier Group
"Sales Representative, Tepic",Onestar Solutions
Ejecutivo de ventas,AUTOMOTORES FLOVA
Auxiliar de sucursal,Suspensiones Automotrices de Nayarit
Service Technician*,Dräxlmaier Group
Auxiliar de Contabilidad,MEXIFRUTAS
Becario de Contabilidad,M2 Ingenieria de Costos
TECNICO EN SISTEMA,CASINO LAS VEGAS
Monitorista GPS,Suspensiones Automotrices de Nayarit
EMPLEADA DE MOSTRADOR,GRUPO MERAG S.A. DE C.V.
Chófer,PROYECTOS INMOBILIARIOS DE CULIACAN SA DE CV
Auxiliar Contable,SERVIGRANDA
gestor - verificador,SURTIDORA DEPARTAMENTAL
verificador de creditos,SURTIDORA DEPARTAMENTAL
asesor de ventas,Seminuevos Grupo Plasencia
Asesor Comercial,Holcim
MESERO,SEA FOOD DEL MAR TO GO
Attendant-Shipping & Receiving,"Marriott International, Inc"
Officer-Loss Prevention,"Marriott International, Inc"
